Type                                  Module                      Label             Process   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEEThres0p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEEThres1GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEEThres1p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countEcalRecHitsEcalRecHitsEEThres2GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countHcalRecHitsThres0GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countHcalRecHitsThres0p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countHcalRecHitsThres1GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countHcalRecHitsThres1p5GeV"   "MYHLT"   
int                                   "hltEgammaHLTExtra"         "countHcalRecHitsThres2GeV"   "MYHLT"   
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowBasicClusterECALBarrel"   "MYHLT"   
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowBasicClusterECALEndcap"   "MYHLT"   
vector<reco::CaloCluster>             "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowBasicClusterECALPreshower"   "MYHLT"   
vector<reco::ElectronSeed>            "hltEgammaElectronPixelSeeds"   ""                "MYHLT"   
vector<reco::GsfTrack>                "hltEgammaGsfTracks"        ""                "MYHLT"   
vector<reco::GsfTrackExtra>           "hltEgammaGsfTracks"        ""                "MYHLT"   
vector<reco::PFCluster>               "hltEgammaHLTExtra"         "Ecal"            "MYHLT"   
vector<reco::PFCluster>               "hltEgammaHLTExtra"         "EcalUnseeded"    "MYHLT"   
vector<reco::PFCluster>               "hltEgammaHLTExtra"         "Hcal"            "MYHLT"   
vector<reco::RecoEcalCandidate>       "hltEgammaCandidates"       ""                "MYHLT"   
vector<reco::SuperCluster>            "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowSuperClusterECALBarrel"   "MYHLT"   
vector<reco::SuperCluster>            "hltParticleFlowSuperClusterECALL1Seeded"   "hltParticleFlowSuperClusterECALEndcapWithPreshower"   "MYHLT"   
vector<reco::Track>                   "hltEgammaHLTExtra"         ""                "MYHLT"   
vector<reco::TrackExtra>              "hltEgammaGsfTracks"        ""                "MYHLT"   
vector<trigger::EgammaObject>         "hltEgammaHLTExtra"         ""                "MYHLT"   
vector<trigger::EgammaObject>         "hltEgammaHLTExtra"         "Unseeded"        "MYHLT"   
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "MYHLT"   
