#Data tag : 19v3 , Norm tag: None
#run:fill,time,ncms,hltpath,delivered(/fb),recorded(/fb)
316218:6677,05/13/18 16:52:47,1008,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.250380950,0.243232708
316219:6677,05/13/18 23:33:19,283,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.050387980,0.048978441
316239:6681,05/14/18 05:52:32,589,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.217721889,0.209319054
316240:6681,05/14/18 09:45:29,1224,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.293553226,0.283682524
316241:6681,05/14/18 17:44:39,325,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.055296179,0.053194396
316271:6683,05/15/18 00:23:54,86,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14,0.032067180,0.029698080
316361:6688,05/15/18 17:14:35,189,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.028479204,0.026413888
316362:6688,05/15/18 18:35:04,425,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.055678975,0.053916088
316363:6688,05/15/18 21:30:58,48,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.004948662,0.004611485
316377:6690,05/16/18 01:56:02,21,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.003238999,0.001986070
316378:6690,05/16/18 02:06:22,29,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.006210418,0.003336673
316379:6690,05/16/18 02:20:12,70,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.014591107,0.008222157
316380:6690,05/16/18 02:51:00,1208,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.179336474,0.175280166
316455:6693,05/16/18 19:16:25,36,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.009914375,0.009607083
316457:6693,05/16/18 19:38:28,1454,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.335723751,0.326273293
316469:6694,05/17/18 07:48:25,428,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.154005380,0.148877856
316470:6694,05/17/18 11:54:09,476,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.121011471,0.116869505
316472:6694,05/17/18 15:00:34,328,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.068118293,0.066237151
316505:6696,05/18/18 00:24:11,1319,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.414502581,0.401220030
316569:6700,05/19/18 02:15:13,1888,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.499434423,0.485569309
316590:6702,05/19/18 20:55:25,510,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.195346939,0.189247294
316613:6706,05/20/18 07:52:22,193,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.032123857,0.031466211
316615:6706,05/20/18 09:12:45,338,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.050039803,0.049127397
316666:6709,05/20/18 21:51:33,981,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.290501772,0.279381290
316667:6709,05/21/18 04:15:41,197,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.043606324,0.042140099
316700:6710,05/21/18 11:45:22,311,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.121734638,0.114304211
316701:6710,05/21/18 14:12:33,479,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.150661379,0.143933326
316702:6710,05/21/18 17:21:19,388,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.098397047,0.095461886
316715:6711,05/22/18 01:10:33,13,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.003351253,0.003000536
316716:6711,05/22/18 01:30:21,181,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.069727677,0.061792771
316717:6711,05/22/18 02:44:00,192,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.066618266,0.063385896
316718:6711,05/22/18 04:00:35,311,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.093701986,0.090222571
316719:6711,05/22/18 06:17:36,136,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.035381806,0.032449482
316720:6711,05/22/18 07:16:06,182,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.043150675,0.041732114
316721:6711,05/22/18 08:29:42,15,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.003344665,0.003260078
316722:6711,05/22/18 08:45:58,751,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.139833719,0.134760529
316723:6711,05/22/18 13:38:48,64,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.009830576,0.009621132
316758:6712,05/22/18 16:43:00,1599,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.472002595,0.455682721
316766:6714,05/23/18 05:50:20,2148,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.578885603,0.561052774
316876:6719,05/24/18 23:17:15,610,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.236503579,0.216379022
316877:6719,05/25/18 03:18:15,395,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.115167832,0.111051479
316879:6719,05/25/18 06:01:35,156,HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15,0.038537500,0.036513199
